,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Random Forest,0,0,0.9304674653511863,0.9455717354977321,0.9379587970636988,4189,1.0,7.7
1,Random Forest,0,1,0.9192348565356004,0.897613282601176,0.9082954147707385,2891,1.0,7.7
2,Random Forest,1,0,0.9218430034129693,0.9564447592067988,0.9388251651025374,5648,1.0,7.7
3,Random Forest,1,1,0.9475032010243278,0.9064924458962842,0.9265442404006679,4898,1.0,7.7
4,Random Forest,2,0,0.929901269393512,0.929901269393512,0.929901269393512,7090,0.0,7.7
5,Random Forest,2,1,0.9312681510164569,0.9312681510164569,0.9312681510164568,7231,0.0,7.7
6,Random Forest,3,0,0.9231119717507689,0.9536361496822782,0.938125832031024,8498,1.0,7.7
7,Random Forest,3,1,0.9577026301663982,0.9296581909128804,0.9434720533023109,9596,1.0,7.7
8,Random Forest,4,0,0.9225206611570248,0.9621980784771482,0.9419417219707292,11137,1.0,7.7
9,Random Forest,4,1,0.9670166092134127,0.9320395680736994,0.9492059830045758,13243,1.0,7.7
10,Random Forest,5,0,0.9301414581066376,0.9325769146847044,0.9313575942471127,13749,0.5330476970575263,7.7
11,Random Forest,5,1,0.9448148589117752,0.9427943447784246,0.9438035204567079,16834,0.5330476970575263,7.7
12,Random Forest,6,0,0.9169529676578605,0.9436722750548646,0.9301207714955236,16404,1.0,7.7
13,Random Forest,6,1,0.9550211750961398,0.9333047904476476,0.9440381099028005,21021,1.0,7.7
14,Random Forest,7,0,0.9257907542579076,0.9583377059502571,0.9417831176197597,19058,0.44378896280490354,7.7
15,Random Forest,7,1,0.9678477424579874,0.9422826729745712,0.9548941270475428,25365,0.44378896280490354,7.7
16,Random Forest,8,0,0.9212412626330083,0.9613901407796311,0.9408875954892688,21523,1.0,7.7
17,Random Forest,8,1,0.970164793738556,0.9385571880101421,0.9540992867735328,28791,1.0,7.7
18,Random Forest,9,0,0.9207147483521926,0.963210968950536,0.941483559295621,25089,1.0,7.7
19,Random Forest,9,1,0.9725779137823465,0.9402303472441623,0.9561306151060225,34817,1.0,7.7
20,Random Forest,10,0,0.9164619164619164,0.9214101704485302,0.9189293821598887,28337,0.6253044654939107,7.7
21,Random Forest,10,1,0.9431554228246165,0.9394863971523011,0.9413173347599578,39330,0.6253044654939107,7.7
22,Random Forest,11,0,0.9204803930488582,0.9406496001983512,0.9304557090084152,32266,0.6665724448213318,7.7
23,Random Forest,11,1,0.9568382618103137,0.9418302828618969,0.9492749572353342,45075,0.6665724448213318,7.7
24,Random Forest,12,0,0.9239495566936505,0.9510798707556261,0.93731843575419,35282,1.0,7.7
25,Random Forest,12,1,0.9639349742989678,0.9435104511801039,0.9536133619976849,48894,1.0,7.7
26,Random Forest,13,0,0.9181832910298644,0.9207939559695633,0.9194867704122331,36929,1.0,7.7
27,Random Forest,13,1,0.9459494419395373,0.9441175928145922,0.9450326296648421,54221,1.0,7.7
28,Random Forest,14,0,0.9217187425235657,0.9598385569784245,0.9403925014645577,40138,1.0,7.7
29,Random Forest,14,1,0.9721670666643645,0.9450794769793712,0.958431919927826,59577,1.0,7.7
