,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Random Forest,0,0,0.9325519681556833,0.933377600708278,0.9329646017699116,4518,1.0,5.800000000000001
1,Random Forest,0,1,0.9001658374792704,0.8989731699238158,0.8995691083858137,3019,1.0,5.800000000000001
2,Random Forest,1,0,0.9326732673267327,0.9435726210350585,0.938091286307054,5990,1.0,5.800000000000001
3,Random Forest,1,1,0.9291256028517509,0.9156850588964662,0.9223563696919234,4839,1.0,5.800000000000001
4,Random Forest,2,0,0.9203833865814697,0.9437819420783645,0.9319358178053829,7631,1.0,5.800000000000001
5,Random Forest,2,1,0.9380505415162455,0.9124877089478859,0.92509256622045,7119,1.0,5.800000000000001
6,Random Forest,3,0,0.9330462421818928,0.9426144603273254,0.9378059463080332,9654,1.0,5.800000000000001
7,Random Forest,3,1,0.9424654688960432,0.932874177631579,0.9376452962752493,9728,1.0,5.800000000000001
8,Random Forest,4,0,0.9258623508255681,0.9488983831783531,0.9372388399321502,11937,1.0,5.800000000000001
9,Random Forest,4,1,0.9535025535482887,0.9323941562313656,0.9428302242321462,13416,1.0,5.800000000000001
10,Random Forest,5,0,0.9264464438169042,0.9540781820641147,0.9400593076333588,14786,1.0,5.800000000000001
11,Random Forest,5,1,0.9592020669350477,0.9344415827675018,0.9466599460372995,17084,1.0,5.800000000000001
12,Random Forest,6,0,0.9272000887803795,0.9477624638420963,0.9373685243878496,17631,1.0,5.800000000000001
13,Random Forest,6,1,0.9552912621359223,0.9374970225334667,0.94631049986776,20991,1.0,5.800000000000001
14,Random Forest,7,0,0.9239304939087732,0.9465002660475016,0.9350792095768321,20673,1.0,5.800000000000001
15,Random Forest,7,1,0.9553041018387554,0.9361980198019803,0.9456545654565456,25250,1.0,5.800000000000001
16,Random Forest,8,0,0.9390117035110533,0.9369809688581315,0.9379952370642997,23120,1.0,5.800000000000001
17,Random Forest,8,1,0.9487909461549277,0.950461235124287,0.949625356175467,28402,1.0,5.800000000000001
18,Random Forest,9,0,0.9289386041123661,0.956785980611484,0.9426566747483653,26820,1.0,5.800000000000001
19,Random Forest,9,1,0.9651836943134369,0.9424221981051829,0.9536671514647829,34093,1.0,5.800000000000001
20,Random Forest,10,0,0.9255061802034662,0.911610144596403,0.9185056072614859,30637,1.0,5.800000000000001
21,Random Forest,10,1,0.9323152290734584,0.943159119067486,0.9377058246813645,39549,1.0,5.800000000000001
22,Random Forest,11,0,0.9243418225570802,0.9484142147497134,0.9362233054781801,34021,1.0,5.800000000000001
23,Random Forest,11,1,0.959316611803978,0.9400099945484282,0.9495651774856015,44024,1.0,5.800000000000001
24,Random Forest,12,0,0.9259691732835124,0.9620672921384665,0.943673145577152,37092,1.0,5.800000000000001
25,Random Forest,12,1,0.9705327971852225,0.942005122575924,0.9560561985517114,49194,1.0,5.800000000000001
26,Random Forest,13,0,0.9396781174597647,0.9254060410083046,0.9324874725383229,40821,1.0,5.800000000000001
27,Random Forest,13,1,0.9434697855750487,0.9544558174476476,0.9489310055083557,53245,1.0,5.800000000000001
28,Random Forest,14,0,0.9390097846473685,0.943422785269945,0.9412111122436267,44046,1.0,5.800000000000001
29,Random Forest,14,1,0.9573009835166718,0.953917601461524,0.9556062977311406,58569,1.0,5.800000000000001
