,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Random Forest,0,0,0.944977607165707,0.9271814187068425,0.9359949302915083,4779,1.0,1.9
1,Random Forest,0,1,0.887378640776699,0.914,0.9004926108374385,3000,1.0,1.9
2,Random Forest,1,0,0.9256072874493927,0.9545929018789144,0.9398766700924974,5748,1.0,1.9
3,Random Forest,1,1,0.9355237154150198,0.8956953642384106,0.9151764137264378,4228,1.0,1.9
4,Random Forest,2,0,0.9343401181877873,0.9282452707110241,0.931282722513089,7665,1.0,1.9
5,Random Forest,2,1,0.9205546728296982,0.927251564091372,0.9238909828935924,6873,1.0,1.9
6,Random Forest,3,0,0.9256418124168968,0.9516298633017876,0.9384559547881992,9510,1.0,1.9
7,Random Forest,3,1,0.9518828451882845,0.9260201485702656,0.9387734048589261,9827,1.0,1.9
8,Random Forest,4,0,0.9257142857142857,0.9449657621100684,0.9352409638554217,11829,1.0,1.9
9,Random Forest,4,1,0.9496052020436601,0.9318596171376481,0.9406487232574189,13164,1.0,1.9
10,Random Forest,5,0,0.9291910571972636,0.9218443884690736,0.9255031435495767,14292,1.0,1.9
11,Random Forest,5,1,0.9328079884504331,0.939192053782327,0.9359891353553644,16511,1.0,1.9
12,Random Forest,6,0,0.9123818940892111,0.9504978825683873,0.9310499467458938,17474,1.0,1.9
13,Random Forest,6,1,0.9583674255186023,0.9258380992235086,0.9418219657553686,21507,1.0,1.9
14,Random Forest,7,0,0.9237626520568298,0.9604634322954381,0.9417556149859182,20715,1.0,1.9
15,Random Forest,7,1,0.9678255745433118,0.9375142704924271,0.9524288171959872,26278,1.0,1.9
16,Random Forest,8,0,0.9200956725871462,0.9198512155160962,0.9199734278122232,22583,1.0,1.9
17,Random Forest,8,1,0.9394952365034264,0.9396837072453108,0.9395894624231078,29909,1.0,1.9
18,Random Forest,9,0,0.921474715972377,0.9198354458527908,0.9206543512129981,26982,1.0,1.9
19,Random Forest,9,1,0.9385930047694754,0.9398737775756197,0.9392329545454545,35176,1.0,1.9
20,Random Forest,10,0,0.9324588242952933,0.9449777337951509,0.9386765404590658,30315,1.0,1.9
21,Random Forest,10,1,0.9586186364989581,0.9490359818248802,0.9538032410550091,40715,1.0,1.9
22,Random Forest,11,0,0.9324592163439549,0.93705950848808,0.9347537024866649,32634,1.0,1.9
23,Random Forest,11,1,0.9542773189680119,0.9508694880667199,0.9525703556390059,45084,1.0,1.9
24,Random Forest,12,0,0.9092992020225962,0.9451166100952589,0.9268620055568233,36532,1.0,1.9
25,Random Forest,12,1,0.9590105284677501,0.9316042419668745,0.9451087449254046,50354,1.0,1.9
26,Random Forest,13,0,0.9135333741579914,0.9189582101320718,0.9162377624095617,40584,1.0,1.9
27,Random Forest,13,1,0.9411469983000805,0.9371057976695293,0.9391220505128961,56126,1.0,1.9
28,Random Forest,14,0,0.9261951093709704,0.9303612641891573,0.9282735123068789,42462,1.0,1.9
29,Random Forest,14,1,0.9506591022860004,0.9476389281615409,0.9491466126896069,60121,1.0,1.9
