,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9295983086680761,0.9429551790692687,0.936229106781646,4663,1.0,5.800000000000001
1,Neural Network,0,1,0.90267105744603,0.8810714285714286,0.8917404662931503,2800,1.0,5.800000000000001
2,Neural Network,1,0,0.9420880913539967,0.9476534296028881,0.9448625654450262,6094,1.0,5.800000000000001
3,Neural Network,1,1,0.9218903036238981,0.9138349514563107,0.9178449536811312,4120,1.0,5.800000000000001
4,Neural Network,2,0,0.9213216957605985,0.9637407069257858,0.9420539300057373,7667,1.0,5.800000000000001
5,Neural Network,2,1,0.9486231750138606,0.8905274115197779,0.9186577181208052,5764,1.0,5.800000000000001
6,Neural Network,3,0,0.939261114589856,0.9306173094819563,0.9349192333662286,9671,0.0,5.800000000000001
7,Neural Network,3,1,0.9202330004755112,0.930073290880692,0.9251269793845234,8323,0.0,5.800000000000001
8,Neural Network,4,0,0.9381851149756861,0.9535896791488648,0.9458246780224346,11937,1.0,5.800000000000001
9,Neural Network,4,1,0.9479665633511787,0.9308309508438624,0.9393206142391809,10843,1.0,5.800000000000001
10,Random Forest,0,0,0.9304825062885891,0.9412445061300023,0.9358325666973322,4323,1.0,5.800000000000001
11,Random Forest,0,1,0.9177194687398769,0.9030921262352566,0.9103470437017994,3137,1.0,5.800000000000001
12,Random Forest,1,0,0.9299982629841932,0.9414454017935643,0.9356868227892347,5687,1.0,5.800000000000001
13,Random Forest,1,1,0.9344617201338319,0.9217627645117453,0.9280688037529321,5151,1.0,5.800000000000001
14,Random Forest,2,0,0.9367298906271633,0.934917783611994,0.9358229598893499,7237,0.57971649861172,5.800000000000001
15,Random Forest,2,1,0.9356029532403609,0.9373972602739726,0.9364992472971123,7300,0.57971649861172,5.800000000000001
16,Random Forest,3,0,0.9345433919455474,0.9248905355338498,0.9296919083624874,8907,1.0,5.800000000000001
17,Random Forest,3,1,0.9343538416249632,0.9428656302604218,0.9385904386397239,10099,1.0,5.800000000000001
18,Random Forest,4,0,0.9311377245508982,0.9301250679717238,0.9306311207834603,11034,1.0,5.800000000000001
19,Random Forest,4,1,0.9428168805162056,0.9436567441169921,0.9432366253617274,13471,1.0,5.800000000000001
