,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.919917864476386,0.9507191700070738,0.935064935064935,4241,0.0,7.7
1,Neural Network,0,1,0.9265377855887522,0.8824907934382323,0.9039780521262002,2987,0.0,7.7
2,Neural Network,1,0,0.9187434187434187,0.938845050215208,0.9286854709952101,5576,1.0,7.7
3,Neural Network,1,1,0.9316222177661921,0.909375611665688,0.920364500792393,5109,1.0,7.7
4,Neural Network,2,0,0.9076696953500801,0.9528685650161313,0.9297201122288373,7129,1.0,7.7
5,Neural Network,2,1,0.953391593841032,0.9086462189317821,0.9304812834224598,7564,1.0,7.7
6,Neural Network,3,0,0.9135564378899603,0.9452987439840357,0.9291565709011192,8519,1.0,7.7
7,Neural Network,3,1,0.9512908957876032,0.9227415593632768,0.9367987647967061,9863,1.0,7.7
8,Neural Network,4,0,0.9075312335034312,0.9507788736289059,0.9286518118388476,10849,1.0,7.7
9,Neural Network,4,1,0.9591055291775157,0.9225782688766114,0.9404873652986897,13575,1.0,7.7
10,SVM,0,0,0.9189829778065072,0.9560636628558619,0.9371566688639859,4461,1.0,7.7
11,SVM,0,1,0.9325068870523416,0.8780804150453956,0.9044756179024717,3084,1.0,7.7
12,SVM,1,0,0.9306746179649646,0.9496101920517208,0.9400470588235295,5259,1.0,7.7
13,SVM,1,1,0.9426034221355859,0.9212531752751905,0.9318060164864574,4724,1.0,7.7
14,SVM,2,0,0.9276043893401739,0.9489721533751275,0.9381666186220813,6859,1.0,7.7
15,SVM,2,1,0.9514966740576497,0.9311093029563331,0.9411925976696367,7374,1.0,7.7
16,SVM,3,0,0.9279694347679515,0.9452838827838828,0.9365466402041395,8736,1.0,7.7
17,SVM,3,1,0.9520898065550767,0.9367850098619329,0.9443754038872596,10140,1.0,7.7
18,SVM,4,0,0.9204165472437184,0.9235931358450772,0.9220021054646377,10431,1.0,7.7
19,SVM,4,1,0.941414289914731,0.9389296187683285,0.9401703127294083,13640,1.0,7.7
20,Random Forest,0,0,0.9358145754401604,0.9376953997320232,0.9367540435025097,4478,1.0,7.7
21,Random Forest,0,1,0.9087041884816754,0.9060358890701469,0.9073680771115831,3065,1.0,7.7
22,Random Forest,1,0,0.9332870048644892,0.9345859429366736,0.9339360222531293,5748,1.0,7.7
23,Random Forest,1,1,0.9172170849845883,0.9156043956043955,0.9164100307963045,4550,1.0,7.7
24,Random Forest,2,0,0.9352607552911882,0.9270533388180447,0.9311389615755405,7293,1.0,7.7
25,Random Forest,2,1,0.9272826681246583,0.9354660783232212,0.9313563975837452,7252,1.0,7.7
26,Random Forest,3,0,0.9352579070261091,0.9178210603062181,0.9264574462492773,9601,1.0,7.7
27,Random Forest,3,1,0.9234575087310827,0.939776878270313,0.9315457258893184,10129,1.0,7.7
28,Random Forest,4,0,0.9298850574712644,0.9093031298633927,0.9194789298828466,11566,1.0,7.7
29,Random Forest,4,1,0.9219900349520339,0.9398832537336063,0.9308506644642992,13191,1.0,7.7
