,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9420980926430518,0.9380510965408094,0.9400702390393112,4423,0.0,1.9
1,Neural Network,0,1,0.9127388535031847,0.9182954181352131,0.9155087046797636,3121,0.0,1.9
2,Neural Network,1,0,0.9152821187695345,0.9700139470013946,0.9418535759627592,5736,1.0,1.9
3,Neural Network,1,1,0.9606317235065233,0.890704584040747,0.924347538817311,4712,1.0,1.9
4,Neural Network,2,0,0.9364799294221438,0.9285610147251786,0.9325036603221083,6859,0.0,1.9
5,Neural Network,2,1,0.9310441880101323,0.9387060158910329,0.9348594037021337,7048,0.0,1.9
6,Neural Network,3,0,0.940084835630965,0.9430851063829787,0.9415825809877854,9400,1.0,1.9
7,Neural Network,3,1,0.9480229282036335,0.945267848493655,0.9466433837795886,10323,1.0,1.9
8,Neural Network,4,0,0.925297410776767,0.9395150546229682,0.9323520338460181,11259,0.0,1.9
9,Neural Network,4,1,0.9470121381886087,0.9344337811900192,0.9406809135525755,13025,0.0,1.9
10,SVM,0,0,0.9310574152072711,0.9425493716337523,0.936768149882904,4456,0.0,1.9
11,SVM,0,1,0.9155951203428948,0.8992875647668394,0.9073680771115831,3088,0.0,1.9
12,SVM,1,0,0.9205394568981229,0.9412970555348491,0.9308025430756475,5366,0.0,1.9
13,SVM,1,1,0.9384284597341673,0.9167462287569219,0.927460639428185,5237,0.0,1.9
14,SVM,2,0,0.9316175370342661,0.9192381514838328,0.9253864447086801,6773,0.0,1.9
15,SVM,2,1,0.9310214375788146,0.9417091836734693,0.9363348129359543,7840,0.0,1.9
16,SVM,3,0,0.922510074841681,0.9229351457205391,0.9227225613267304,8681,1.0,1.9
17,SVM,3,1,0.9397948164146869,0.9394566390788053,0.939625697318697,11116,1.0,1.9
18,SVM,4,0,0.9225823976819992,0.9339138405132905,0.9282135373963742,10910,1.0,1.9
19,SVM,4,1,0.9496754379842256,0.9408754581287602,0.9452549673475059,14461,1.0,1.9
20,Random Forest,0,0,0.9321225879682179,0.9447768062586286,0.9384070391955205,4346,0.0,1.9
21,Random Forest,0,1,0.9126637554585153,0.8934805842536516,0.9029702970297029,2807,0.0,1.9
22,Random Forest,1,0,0.9340028694404591,0.9453621346886912,0.9396481732070365,5509,1.0,1.9
23,Random Forest,1,1,0.9329173166926678,0.9191919191919192,0.9260037606459463,4554,1.0,1.9
24,Random Forest,2,0,0.9223156182212582,0.956686823231613,0.9391868571823014,7111,1.0,1.9
25,Random Forest,2,1,0.9511731135066582,0.9128251939753537,0.9316046890769349,6573,1.0,1.9
26,Random Forest,3,0,0.9220521854012992,0.958457312886244,0.9399023623814601,8738,0.0,1.9
27,Random Forest,3,1,0.9589969501863775,0.9230267449445532,0.9406681070300814,9198,0.0,1.9
28,Random Forest,4,0,0.9214194100042753,0.9532065457762052,0.9370434782608696,11305,1.0,1.9
29,Random Forest,4,1,0.9569638789456557,0.9275350891026652,0.9420197004885081,12682,1.0,1.9
