,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9256756756756757,0.9551475714617709,0.9401807160013725,4303,1.0,7.7
1,Neural Network,0,1,0.9266717325227963,0.8808234019501625,0.9031660803554897,2769,1.0,7.7
2,Neural Network,1,0,0.9329666552079753,0.9371546961325967,0.9350559862187771,5792,0.44429494079655546,7.7
3,Neural Network,1,1,0.9107843137254902,0.9050170482221139,0.9078915221109211,4106,0.44429494079655546,7.7
4,Neural Network,2,0,0.9270064156881733,0.9429873168329024,0.9349285801489439,8121,1.0,7.7
5,Neural Network,2,1,0.929784652714589,0.9104544104544104,0.9200180072028812,6734,1.0,7.7
6,Neural Network,3,0,0.9252069654581787,0.955201886236369,0.9399651972157772,10179,1.0,7.7
7,Neural Network,3,1,0.9492543957266859,0.9156290253327608,0.9321385640913561,9316,1.0,7.7
8,Neural Network,4,0,0.9169999245453859,0.9621565988441136,0.9390356977283264,12631,1.0,7.7
9,Neural Network,4,1,0.9593087596833234,0.9110679925620503,0.9345662630618676,12369,1.0,7.7
10,SVM,0,0,0.9299403747870528,0.9518308631211857,0.9407582938388626,4588,1.0,7.7
11,SVM,0,1,0.9243927471775573,0.8914549653579676,0.9076251259657372,3031,1.0,7.7
12,SVM,1,0,0.9323114019979332,0.9531607677407994,0.9426208097518503,5679,1.0,7.7
13,SVM,1,1,0.9406514948683623,0.9147320459969625,0.9275107248927511,4609,1.0,7.7
14,SVM,2,0,0.930672268907563,0.9174375258870634,0.9240075088646319,7243,0.0,7.7
15,SVM,2,1,0.9163519373338929,0.9297473743968209,0.9230010567101091,7046,0.0,7.7
16,SVM,3,0,0.9346225689484672,0.9442717584369449,0.9394223866585676,9008,1.0,7.7
17,SVM,3,1,0.9500696240302368,0.9413619789100227,0.9456957576357607,10147,1.0,7.7
18,SVM,4,0,0.9318555802923241,0.9233646652599271,0.9275906922965748,10426,1.0,7.7
19,SVM,4,1,0.9377143748051138,0.9447105945181811,0.941199483588279,12733,1.0,7.7
20,Random Forest,0,0,0.936853448275862,0.9364498061180526,0.9366515837104072,4642,0.0,7.7
21,Random Forest,0,1,0.9082996580665216,0.9088646967340591,0.9085820895522388,3215,0.0,7.7
22,Random Forest,1,0,0.9304347826086956,0.9506968641114982,0.9404566996984058,5740,1.0,7.7
23,Random Forest,1,1,0.9412863070539419,0.9174924165824064,0.929237071172555,4945,1.0,7.7
24,Random Forest,2,0,0.9417696349950291,0.9368465668267872,0.939301650258517,7078,1.0,7.7
25,Random Forest,2,1,0.9356556787102346,0.9406657018813314,0.9381540015876452,6910,1.0,7.7
26,Random Forest,3,0,0.9362642218049265,0.9282663454167123,0.9322481302243731,9131,1.0,7.7
27,Random Forest,3,1,0.9362592448423511,0.9434202784859776,0.9398261209338673,10198,1.0,7.7
28,Random Forest,4,0,0.9296868028910502,0.9629390018484288,0.9460207926635492,10820,1.0,7.7
29,Random Forest,4,1,0.9681821788463064,0.9393379522709777,0.9535419841362873,12990,1.0,7.7
