,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9211416490486258,0.9586358635863587,0.9395148247978437,4545,1.0,15.4
1,Neural Network,0,1,0.9367216425445978,0.8818124207858048,0.9084380610412927,3156,1.0,15.4
2,Neural Network,1,0,0.9197909156452776,0.9584898572501879,0.9387417218543046,5324,1.0,15.4
3,Neural Network,1,1,0.9492537313432836,0.9028172089975978,0.9254533243787777,4579,1.0,15.4
4,Neural Network,2,0,0.9302225412778177,0.9350555635733873,0.9326327911328631,6929,1.0,15.4
5,Neural Network,2,1,0.9330058061634658,0.928031985784096,0.9305122494432071,6753,1.0,15.4
6,Neural Network,3,0,0.9301742919389978,0.9479351687388987,0.9389707499450187,9008,1.0,15.4
7,Neural Network,3,1,0.9499893367455747,0.9328795811518324,0.941356720202874,9550,1.0,15.4
8,Neural Network,4,0,0.9005020920502093,0.9561083962683252,0.9274725274725276,11255,1.0,15.4
9,Neural Network,4,1,0.9586714632309881,0.9059930423782416,0.9315881468232998,12648,1.0,15.4
10,SVM,0,0,0.9404895576016169,0.9390134529147982,0.9397509256142713,4460,1.0,15.4
11,SVM,0,1,0.9096345514950166,0.9117549117549117,0.9106934974222518,3003,1.0,15.4
12,SVM,1,0,0.9391379310344827,0.9274646688234293,0.933264799109055,5873,1.0,15.4
13,SVM,1,1,0.9083673908367391,0.9228583916083916,0.9155555555555555,4576,1.0,15.4
14,SVM,2,0,0.9291623578076526,0.9329007138221934,0.9310277831746648,7705,1.0,15.4
15,SVM,2,1,0.9247890602269421,0.9206372194062273,0.9227084694099718,6905,1.0,15.4
16,SVM,3,0,0.9348650699035439,0.918539026727718,0.9266301428724889,9391,1.0,15.4
17,SVM,3,1,0.9142088146237524,0.9313378270307323,0.9226938313525749,8753,1.0,15.4
18,SVM,4,0,0.9323405354222261,0.9109335576114382,0.9215127408856936,11890,1.0,15.4
19,SVM,4,1,0.9147342995169082,0.9352926648555199,0.9248992550983026,12147,1.0,15.4
20,Random Forest,0,0,0.9247171453437772,0.9459158691297574,0.9351963912421609,4493,1.0,15.4
21,Random Forest,0,1,0.9235849056603773,0.8946085897045385,0.908865851771623,3283,1.0,15.4
22,Random Forest,1,0,0.9274895872775464,0.9253872308273517,0.9264372163388804,5294,1.0,15.4
23,Random Forest,1,1,0.9235089078233927,0.9256599378881988,0.9245831717720047,5152,1.0,15.4
24,Random Forest,2,0,0.9204659859053645,0.9269988412514485,0.9237208631016814,6904,1.0,15.4
25,Random Forest,2,1,0.9341176470588235,0.9281724899337577,0.9311355788650727,7699,1.0,15.4
26,Random Forest,3,0,0.9231849611063094,0.949233503665852,0.9360280425019171,9002,1.0,15.4
27,Random Forest,3,1,0.9572337638031069,0.9350091407678245,0.9459909368352908,10940,1.0,15.4
28,Random Forest,4,0,0.924197991646672,0.9504660939499178,0.9371480063077269,10942,1.0,15.4
29,Random Forest,4,1,0.9604812249362012,0.9391843718807928,0.9497134205688331,14026,1.0,15.4
