,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9235063055612983,0.9573510501500214,0.9401241713143217,4666,1.0,1.9
1,Neural Network,0,1,0.9302977232924694,0.8777263714474554,0.9032477469818058,3026,1.0,1.9
2,Neural Network,1,0,0.9163688348820586,0.9520980319346454,0.9338918229830631,5386,0.0,1.9
3,Neural Network,1,1,0.9410016007317631,0.8978834824350862,0.9189370254577937,4583,0.0,1.9
4,Neural Network,2,0,0.9262067959749162,0.9334215167548501,0.9298001610423834,6804,0.0,1.9
5,Neural Network,2,1,0.9318899413622012,0.9245226730310262,0.9281916885061774,6704,0.0,1.9
6,Neural Network,3,0,0.9106139438085328,0.9606982105609836,0.934985843260858,9109,1.0,1.9
7,Neural Network,3,1,0.9602001111728738,0.9095408593091828,0.9341841977178087,9496,1.0,1.9
8,Neural Network,4,0,0.8981346309813463,0.9597018805789063,0.9278981105199211,11539,1.0,1.9
9,Neural Network,4,1,0.9636576787807737,0.9075518916531724,0.9347636556612713,13586,1.0,1.9
10,Random Forest,0,0,0.9217527386541471,0.9489067894131186,0.9351326831481062,4345,0.0,1.9
11,Random Forest,0,1,0.9294790343074968,0.8931623931623932,0.9109589041095889,3276,0.0,1.9
12,Random Forest,1,0,0.913509517649233,0.9399125308994105,0.9265229615745081,5259,0.0,1.9
13,Random Forest,1,1,0.9294642857142857,0.8989637305699482,0.9139596136962247,4632,0.0,1.9
14,Random Forest,2,0,0.9278195488721804,0.937975068409851,0.9328696703961294,6578,0.0,1.9
15,Random Forest,2,1,0.9367833901456462,0.9264480539380938,0.9315870570107859,6526,0.0,1.9
16,Random Forest,3,0,0.923837784371909,0.9256689791873142,0.9247524752475247,9081,0.0,1.9
17,Random Forest,3,1,0.9317699383402406,0.93007769145394,0.9309230458493233,9911,0.0,1.9
18,Random Forest,4,0,0.9166739606126915,0.9500181422351234,0.9330482426834158,11024,1.0,1.9
19,Random Forest,4,1,0.9565080116820586,0.9271614384085692,0.9416061230040018,13070,1.0,1.9
