,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9076498966230186,0.9603791929995139,0.9332703436872565,4114,1.0,1.9
1,Neural Network,0,1,0.9432846207376478,0.8708641182139415,0.9056288625354936,3113,1.0,1.9
2,Neural Network,1,0,0.9039002108222066,0.9652908067542214,0.9335873707131193,5330,0.0,1.9
3,Neural Network,1,1,0.9604616371019449,0.8914897837730609,0.9246913580246914,5041,0.0,1.9
4,Neural Network,2,0,0.88205499276411,0.9595403022670025,0.9191675463730961,6352,0.0,1.9
5,Neural Network,2,1,0.9628720023114706,0.891042780748663,0.9255658936258853,7480,0.0,1.9
6,Neural Network,3,0,0.9114043355325165,0.9347510874818753,0.9229300882844189,8276,1.0,1.9
7,Neural Network,3,1,0.9490998209067772,0.9305054985676,0.9397106859542697,10821,1.0,1.9
8,Neural Network,4,0,0.8906305348919589,0.9643302330041231,0.9260162975921918,10429,0.0,1.9
9,Neural Network,4,1,0.9738947368421053,0.918282273539337,0.9452712597486633,15113,0.0,1.9
10,SVM,0,0,0.928744760644165,0.9441578829333931,0.9363879003558717,4459,0.22292490118577074,1.9
11,SVM,0,1,0.9103994242533285,0.8867858394672274,0.8984375,2853,0.22292490118577074,1.9
12,SVM,1,0,0.9334030683403068,0.9402880224798033,0.936832895888014,5694,0.0,1.9
13,SVM,1,1,0.9254876177953101,0.9170466883821933,0.9212478184991273,4605,0.0,1.9
14,SVM,2,0,0.9272870455440346,0.9510028267599946,0.9389952153110048,7429,0.6804222648752399,1.9
15,SVM,2,1,0.9449818621523579,0.9186012342051131,0.9316048278945015,6806,0.6804222648752399,1.9
16,SVM,3,0,0.9334239130434783,0.9307892062775206,0.9321046978348126,8857,0.0,1.9
17,SVM,3,1,0.9343190828243866,0.9368285345938977,0.9355721259589078,9308,0.0,1.9
18,SVM,4,0,0.8907636874945074,0.9482645710543549,0.9186151894145369,10689,1.0,1.9
19,SVM,4,1,0.9529000936887829,0.9000080444051163,0.9256991560483204,12431,1.0,1.9
20,Random Forest,0,0,0.9430310937160252,0.9401690873618036,0.9415979157620495,4613,0.4943778110944528,1.9
21,Random Forest,0,1,0.90625,0.910580204778157,0.9084099421178073,2930,0.4943778110944528,1.9
22,Random Forest,1,0,0.9289911029041464,0.951676698194325,0.9401970778117567,5815,0.0,1.9
23,Random Forest,1,1,0.9363533408833522,0.9071757735352205,0.9215336602764156,4557,0.0,1.9
24,Random Forest,2,0,0.9321340964840557,0.9529116745611591,0.9424083769633509,7178,0.0,1.9
25,Random Forest,2,1,0.9459718670076727,0.9223815461346634,0.9340277777777778,6416,0.0,1.9
26,Random Forest,3,0,0.9300398234850931,0.9437527304499782,0.9368460996367973,9156,0.0,1.9
27,Random Forest,3,1,0.9428856604192082,0.9289772727272727,0.9358797952556552,9152,0.0,1.9
28,Random Forest,4,0,0.9256427491177953,0.952698028363888,0.9389755390778147,11564,0.0,1.9
29,Random Forest,4,1,0.9557872615583576,0.9303697875688435,0.9429072641735109,12710,0.0,1.9
