,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.927191011235955,0.9528868360277136,0.939863325740319,4330,1.0,1.9
1,Neural Network,0,1,0.924416450537236,0.8850656261085491,0.9043131569409206,2819,1.0,1.9
2,Neural Network,1,0,0.932546072642691,0.9486712777575537,0.9405395650997022,5494,0.0,1.9
3,Neural Network,1,1,0.9368279569892473,0.917306426847993,0.926964424249141,4559,0.0,1.9
4,Neural Network,2,0,0.9297212406753043,0.9565100309680894,0.9429254048314308,7427,1.0,1.9
5,Neural Network,2,1,0.95151606124287,0.9219022687609075,0.9364751071059241,6876,1.0,1.9
6,Neural Network,3,0,0.9108608713954957,0.9584717607973422,0.9340600043168573,9030,0.0,1.9
7,Neural Network,3,1,0.9602543720190779,0.9145048955284143,0.9368214248785027,9907,0.0,1.9
8,Neural Network,4,0,0.919760777473212,0.956713322965267,0.9378732054376827,11574,1.0,1.9
9,Neural Network,4,1,0.9613037769367421,0.9279749478079332,0.9443453848780302,13412,1.0,1.9
10,SVM,0,0,0.9290555806597379,0.9496535796766744,0.9392416628597534,4330,1.0,1.9
11,SVM,0,1,0.919970631424376,0.8886524822695036,0.9040404040404041,2820,1.0,1.9
12,SVM,1,0,0.9288624787775891,0.9429507066528783,0.9358535750940814,5802,1.0,1.9
13,SVM,1,1,0.9260995757981693,0.90825487190716,0.9170904267079372,4567,1.0,1.9
14,SVM,2,0,0.9176516430705286,0.9466702398499263,0.9319351009101702,7463,1.0,1.9
15,SVM,2,1,0.9410719573586023,0.9092989985693848,0.9249126891734575,6990,1.0,1.9
16,SVM,3,0,0.9246446488294314,0.948129889615261,0.9362400126990845,9331,0.0,1.9
17,SVM,3,1,0.9511308562197092,0.9289024751010748,0.9398852581691195,10141,0.0,1.9
18,SVM,4,0,0.9088487972508591,0.9361118485089815,0.9222788893247896,11301,1.0,1.9
19,SVM,4,1,0.9464629986652825,0.9232549728752261,0.9347149500201384,13825,1.0,1.9
20,Random Forest,0,0,0.9231510479402554,0.9459392742532708,0.9344062423799073,4051,0.5796109510086456,1.9
21,Random Forest,0,1,0.9268781302170284,0.8969305331179321,0.9116584564860428,3095,0.5796109510086456,1.9
22,Random Forest,1,0,0.9330178376410629,0.9354014598540146,0.9342081283032622,5480,0.0,1.9
23,Random Forest,1,1,0.9306562193927522,0.9281109591717133,0.9293818466353677,5119,0.0,1.9
24,Random Forest,2,0,0.9235668789808917,0.9406289662953039,0.932019842101586,7091,0.0,1.9
25,Random Forest,2,1,0.9441644562334217,0.9280406726632773,0.9360331339162448,7671,0.0,1.9
26,Random Forest,3,0,0.9379302432308398,0.9339654975436993,0.9359436716469174,8753,0.17514415156507412,1.9
27,Random Forest,3,1,0.9438289601554908,0.9472349556227445,0.9455288906196757,10253,0.17514415156507412,1.9
28,Random Forest,4,0,0.9229500687127806,0.948230421686747,0.9354194716560658,10624,0.0,1.9
29,Random Forest,4,1,0.9583238614836705,0.9376482799525504,0.9478733370807569,13488,0.0,1.9
