,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.923441037250463,0.9577374599786553,0.9402766135792121,4685,1.0,3.8
1,Neural Network,0,1,0.9303307529908516,0.876657824933687,0.9026971662683511,3016,1.0,3.8
2,Neural Network,1,0,0.9264244882906141,0.9350455983621813,0.9307150796591329,5373,1.0,3.8
3,Neural Network,1,1,0.927185478823284,0.9176130497625439,0.9223744292237442,4843,1.0,3.8
4,Neural Network,2,0,0.9114626699972246,0.9520220321785766,0.9313009571074087,6899,1.0,3.8
5,Neural Network,2,1,0.9528557185586098,0.9129366812227074,0.9324691616140497,7328,1.0,3.8
6,Neural Network,3,0,0.8888053287494628,0.9628724394785847,0.9243575418994414,8592,0.0,3.8
7,Neural Network,3,1,0.9654687161723317,0.8960216998191681,0.9294497707378074,9954,0.0,3.8
8,Neural Network,4,0,0.9193347563144788,0.926005554062528,0.9226580979158299,11163,1.0,3.8
9,Neural Network,4,1,0.9381412416685389,0.9324847402114039,0.9353044387202748,13434,1.0,3.8
10,SVM,0,0,0.9235803251002744,0.9471747131413726,0.9352287302265925,4619,1.0,3.8
11,SVM,0,1,0.9217447081462476,0.8881334981458591,0.9046270066100094,3236,1.0,3.8
12,SVM,1,0,0.923719772403983,0.9362047215714543,0.9299203436856707,5549,1.0,3.8
13,SVM,1,1,0.9228421970357454,0.9079991421831439,0.9153605015673982,4663,1.0,3.8
14,SVM,2,0,0.9210457856399584,0.9268324607329843,0.9239300626304803,7640,0.0,3.8
15,SVM,2,1,0.9251873661670236,0.919281914893617,0.9222251867662753,7520,0.0,3.8
16,SVM,3,0,0.9234257989663538,0.9278295888088173,0.9256224559919648,9436,1.0,3.8
17,SVM,3,1,0.934500336635568,0.9304730894464662,0.9324823647967754,10442,1.0,3.8
18,SVM,4,0,0.9174678033738436,0.9257801775418688,0.9216052475743634,10927,1.0,3.8
19,SVM,4,1,0.9412574243082718,0.9345559151384394,0.9378946988560499,13905,1.0,3.8
20,Random Forest,0,0,0.9411764705882353,0.9361152936115293,0.9386390596355009,4649,1.0,3.8
21,Random Forest,0,1,0.903446033810143,0.9108489019993444,0.9071323649420596,3051,1.0,3.8
22,Random Forest,1,0,0.928476821192053,0.9392061631217552,0.9338106735492465,5971,0.0,3.8
23,Random Forest,1,1,0.9205167506021459,0.9068162208800691,0.9136151255025536,4636,0.0,3.8
24,Random Forest,2,0,0.9321731981364757,0.9296255807597704,0.9308976464148878,7318,0.4786662452591656,3.8
25,Random Forest,2,1,0.9247406108431975,0.9274512677707754,0.9260939558027221,6823,0.4786662452591656,3.8
26,Random Forest,3,0,0.9327546423469948,0.9342945190402817,0.9335239456754825,9086,1.0,3.8
27,Random Forest,3,1,0.9361974991984611,0.9346991037131882,0.9354477014255967,9372,1.0,3.8
28,Random Forest,4,0,0.9230511596751235,0.9531385094241743,0.9378535879875792,11566,0.2783824514400536,3.8
29,Random Forest,4,1,0.95659138234823,0.9285547694938973,0.9423645903191448,12863,0.2783824514400536,3.8
