,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.922496857980729,0.9565595134665508,0.9392194497760715,4604,0.0,1.9
1,Neural Network,0,1,0.9316706525452682,0.8805295447206974,0.9053784860557769,3097,0.0,1.9
2,Neural Network,1,0,0.9333569029520947,0.9474250852323703,0.9403383793410507,5573,0.0,1.9
3,Neural Network,1,1,0.9345690040196516,0.917360806663744,0.9258849557522123,4562,0.0,1.9
4,Neural Network,2,0,0.9064860640791873,0.9351068117694478,0.920574036108723,7443,0.0,1.9
5,Neural Network,2,1,0.9296328671328671,0.8988589942245386,0.9139869655518155,7099,0.0,1.9
6,Neural Network,3,0,0.8875510000995124,0.9587229925830377,0.9217651922281935,9303,0.0,1.9
7,Neural Network,3,1,0.9575924903368305,0.8847056422813998,0.9197072549851507,9801,0.0,1.9
8,Neural Network,4,0,0.9297752808988764,0.9291859096260074,0.9294805018343223,11043,1.0,1.9
9,Neural Network,4,1,0.9416853094705444,0.9421771245243602,0.9419311527990155,13403,1.0,1.9
10,SVM,0,0,0.9335569063089499,0.9382768064040446,0.935910905652448,4747,1.0,1.9
11,SVM,0,1,0.902625456962446,0.8954830201121002,0.8990400529625953,3033,1.0,1.9
12,SVM,1,0,0.9307025986525506,0.9491248159659742,0.9398234388920386,6113,0.0,1.9
13,SVM,1,1,0.9262508892577662,0.9004149377593361,0.9131502045587376,4338,0.0,1.9
14,SVM,2,0,0.9298129229136262,0.9366479550922213,0.9332179239629802,7482,1.0,1.9
15,SVM,2,1,0.9283230001512173,0.9206658668266346,0.9244785784202996,6668,1.0,1.9
16,SVM,3,0,0.9112765957446809,0.9384312007011394,0.9246545768566494,9128,0.0,1.9
17,SVM,3,1,0.9380648005289839,0.9107639631928097,0.924212812160695,9346,0.0,1.9
18,SVM,4,0,0.923783366234658,0.9343693028908759,0.929046180405697,11519,1.0,1.9
19,SVM,4,1,0.9405566913036641,0.9308949416342412,0.935700876095119,12850,1.0,1.9
20,Random Forest,0,0,0.9157338965153116,0.9500438212094654,0.9325733949887085,4564,1.0,1.9
21,Random Forest,0,1,0.9231028667790894,0.8727678571428571,0.8972299623012621,3136,1.0,1.9
22,Random Forest,1,0,0.9169329073482428,0.9541557305336833,0.9351740696278511,5715,0.0,1.9
23,Random Forest,1,1,0.9409244644870349,0.8941504178272981,0.916941331575478,4667,0.0,1.9
24,Random Forest,2,0,0.920922355393434,0.9546252532072924,0.9374709899874014,7405,1.0,1.9
25,Random Forest,2,1,0.9537890248934122,0.9195173693980376,0.9363397016134476,7542,1.0,1.9
26,Random Forest,3,0,0.9387641077215332,0.9332370584314597,0.9359924238204,9002,1.0,1.9
27,Random Forest,3,1,0.9399540413627735,0.9449578143832864,0.942449286250939,9956,1.0,1.9
28,Random Forest,4,0,0.9061113849186792,0.9515224704563099,0.9282618757100182,11593,0.0,1.9
29,Random Forest,4,1,0.9580001494656603,0.9181349376880104,0.9376440039498226,13962,0.0,1.9
