,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9328034682080925,0.9487996080352769,0.9407335438426039,4082,0.649820788530466,3.8
1,Neural Network,0,1,0.9303101033677893,0.9090909090909091,0.9195781147000659,3069,0.649820788530466,3.8
2,Neural Network,1,0,0.9149888143176734,0.9565386864159033,0.9353025250119105,5131,1.0,3.8
3,Neural Network,1,1,0.954058508446642,0.9103597405150383,0.9316970123730007,5087,1.0,3.8
4,Neural Network,2,0,0.9246476847857348,0.946980854197349,0.9356810244470314,6790,0.0,3.8
5,Neural Network,2,1,0.9520958083832335,0.9317619481703346,0.9418191391338685,7679,0.0,3.8
6,Neural Network,3,0,0.9255632888993748,0.9370595963215096,0.9312759643916914,8373,1.0,3.8
7,Neural Network,3,1,0.9493269230769231,0.939927646610815,0.9446039035591275,10504,1.0,3.8
8,Neural Network,4,0,0.92054335690361,0.934983934983935,0.9277074542897328,10582,1.0,3.8
9,Neural Network,4,1,0.9501232419892707,0.9388252148997135,0.944440441017511,13960,1.0,3.8
10,SVM,0,0,0.9337832138338253,0.9415266850946205,0.9376389624139756,4703,1.0,3.8
11,SVM,0,1,0.9093007915567283,0.8977531748616085,0.9034900868425365,3071,1.0,3.8
12,SVM,1,0,0.9150460593654043,0.9635351176576253,0.9386648000699974,5567,1.0,3.8
13,SVM,1,1,0.9486595852301467,0.8827959519887032,0.9145434597098622,4249,1.0,3.8
14,SVM,2,0,0.9251434533124674,0.943100239298059,0.9340355497037524,7522,1.0,3.8
15,SVM,2,1,0.9389791844881665,0.9198324022346369,0.9293071821645267,7160,1.0,3.8
16,SVM,3,0,0.9268669907202828,0.9224848818031886,0.924670744475671,9095,1.0,3.8
17,SVM,3,1,0.926844453668154,0.9309985407546383,0.928916852997764,9594,1.0,3.8
18,SVM,4,0,0.9133233032430625,0.9570815450643777,0.934690560711689,11417,1.0,3.8
19,SVM,4,1,0.9604072398190046,0.9197554747349687,0.9396418830783825,12923,1.0,3.8
20,Random Forest,0,0,0.9353495507341661,0.9486552567237164,0.9419554182299714,4499,1.0,3.8
21,Random Forest,0,1,0.9105691056910569,0.8885530789573102,0.8994263862332696,2647,1.0,3.8
22,Random Forest,1,0,0.9260783668093513,0.9559823249490143,0.9407927747114901,5884,0.0,3.8
23,Random Forest,1,1,0.9407458247540609,0.9015566761675071,0.9207344379758174,4561,0.0,3.8
24,Random Forest,2,0,0.9318901795142556,0.9565099580002709,0.9440395801297052,7381,1.0,3.8
25,Random Forest,2,1,0.9504553171785769,0.9226850464489063,0.9363643275298411,6674,1.0,3.8
26,Random Forest,3,0,0.9189246852997653,0.9543540881896743,0.936304347826087,9026,1.0,3.8
27,Random Forest,3,1,0.9561235356762513,0.9219552269459848,0.938728565453785,9738,1.0,3.8
28,Random Forest,4,0,0.9254863171777118,0.9572037510656437,0.9410778643868912,11730,0.0,3.8
29,Random Forest,4,1,0.9608912433779994,0.9317117389333737,0.9460765513538392,13238,0.0,3.8
