,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9217940049583052,0.9498374361356247,0.9356056273590302,4306,0.0,3.8
1,Neural Network,0,1,0.9203833394765942,0.8779887482419128,0.8986863415511966,2844,0.0,3.8
2,Neural Network,1,0,0.9165631102432097,0.9539911308203991,0.9349026708918062,5412,1.0,3.8
3,Neural Network,1,1,0.9437796342289456,0.8989247311827957,0.9208062561956163,4650,1.0,3.8
4,Neural Network,2,0,0.9308242777630533,0.9448479956954533,0.9377837116154872,7434,1.0,3.8
5,Neural Network,2,1,0.9414453013424736,0.9266235591790835,0.9339756304902238,7114,1.0,3.8
6,Neural Network,3,0,0.9075335799104536,0.9461187214611873,0.926424561577823,9855,1.0,3.8
7,Neural Network,3,1,0.9461351186853317,0.9075605721514061,0.9264464862180284,10277,1.0,3.8
8,Neural Network,4,0,0.8975881261595547,0.9664402716739912,0.9307425933051173,12515,1.0,3.8
9,Neural Network,4,1,0.9671618451915559,0.8996363636363637,0.9321778447626224,13750,1.0,3.8
