,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Random Forest,0,0,0.9294439764111204,0.9451702720068537,0.9372411596049698,4669,1.0,7.7
1,Random Forest,0,1,0.9133084998306806,0.8895118733509235,0.9012531328320802,3032,1.0,7.7
2,Random Forest,1,0,0.9332002178253767,0.9348972540461902,0.934047965116279,5499,1.0,7.7
3,Random Forest,1,1,0.9199821189092534,0.9179304192685103,0.9189551239115874,4484,1.0,7.7
4,Random Forest,2,0,0.9290138161029061,0.9554140127388535,0.9420289855072462,8164,1.0,7.7
5,Random Forest,2,1,0.9443765281173594,0.9120425029515938,0.9279279279279279,6776,1.0,7.7
6,Random Forest,3,0,0.9344455348380766,0.9386829652996845,0.9365594570669814,10144,1.0,7.7
7,Random Forest,3,1,0.9276828275781885,0.9227477737943796,0.925208719851577,8647,1.0,7.7
8,Random Forest,4,0,0.9366339716643313,0.9495698839870571,0.943057569463495,12671,1.0,7.7
9,Random Forest,4,1,0.9463926174496644,0.9326994625878462,0.9394961482406828,12095,1.0,7.7
