,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9263803680981595,0.949685534591195,0.937888198757764,4134,1.0,1.9
1,Neural Network,0,1,0.9265795975997176,0.8937691521961185,0.9098786828422877,2937,1.0,1.9
2,Neural Network,1,0,0.9169059280526938,0.9521220624342336,0.9341822248989073,5702,1.0,1.9
3,Neural Network,1,1,0.9364229156963204,0.8909816086860182,0.9131372771658908,4513,1.0,1.9
4,Neural Network,2,0,0.9099260015310028,0.9546245482532458,0.9317394996407341,7471,0.0,1.9
5,Neural Network,2,1,0.95,0.9012172939694977,0.9249658935879944,7147,0.0,1.9
6,Neural Network,3,0,0.9192233426303369,0.9229857819905213,0.9211007201977857,9284,0.0,1.9
7,Neural Network,3,1,0.9263038548752834,0.9226899383983573,0.9244933648801564,9740,0.0,1.9
8,Neural Network,4,0,0.9307533964594483,0.9332892998678997,0.9320196232015501,12112,0.0,1.9
9,Neural Network,4,1,0.9389682000151068,0.9366335141651597,0.9377994040209724,13272,0.0,1.9
10,SVM,0,0,0.9220291216533584,0.9430699015133317,0.932430827692673,4163,1.0,1.9
11,SVM,0,1,0.9221930400525279,0.8943011779687997,0.9080329723614029,3141,1.0,1.9
12,SVM,1,0,0.9302979201798763,0.934324426044411,0.9323068256501738,5314,0.28826045627376423,1.9
13,SVM,1,1,0.923414527101163,0.9187772925764193,0.9210900733282259,4580,0.28826045627376423,1.9
14,SVM,2,0,0.9254099550137861,0.9323099415204679,0.9288471342218338,6840,0.0,1.9
15,SVM,2,1,0.9332083092902481,0.9263926679077761,0.9297879985627021,6983,0.0,1.9
16,SVM,3,0,0.9092978263343576,0.9261620493798539,0.9176524635350867,8627,0.0,1.9
17,SVM,3,1,0.9324925816023739,0.9169445602334306,0.9246532156368222,9596,0.0,1.9
18,SVM,4,0,0.9201269505421846,0.9211827007943513,0.9206545230009262,11330,0.528344671201814,1.9
19,SVM,4,1,0.9325579639000076,0.9316432775011317,0.9321003963011889,13254,0.528344671201814,1.9
20,Random Forest,0,0,0.928973793779084,0.9491991991991992,0.9389775962371579,3996,0.5950590762620838,1.9
21,Random Forest,0,1,0.9322429906542056,0.9059357768407396,0.9189011350551078,3083,0.5950590762620838,1.9
22,Random Forest,1,0,0.9222896790980052,0.9437344692935747,0.932888849899114,5634,1.0,1.9
23,Random Forest,1,1,0.9289078268670106,0.90239651416122,0.9154602718532435,4590,1.0,1.9
24,Random Forest,2,0,0.9272999048783802,0.9576199831602582,0.9422160856057991,7126,0.9149099861517157,1.9
25,Random Forest,2,1,0.9555947654756654,0.9239408586863804,0.9395012649078424,7034,0.9149099861517157,1.9
26,Random Forest,3,0,0.9271991911021233,0.9567031820552947,0.9417201540436456,9585,1.0,1.9
27,Random Forest,3,1,0.9565080695870887,0.9268812836396872,0.9414616535148795,9847,1.0,1.9
28,Random Forest,4,0,0.929490351311232,0.9529083530605343,0.9410536862319445,11828,1.0,1.9
29,Random Forest,4,1,0.9556846208926725,0.933550944276055,0.9444881270640038,12867,1.0,1.9
