,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9010586319218241,0.9718928414580589,0.93513627720262,4554,1.0,1.9
1,Neural Network,0,1,0.9513122860403195,0.8372949447606294,0.8906695156695156,2987,1.0,1.9
2,Neural Network,1,0,0.931457182320442,0.950158506516379,0.9407149084568439,5678,0.0,1.9
3,Neural Network,1,1,0.9421267893660532,0.9206634692246203,0.9312714776632303,5004,0.0,1.9
4,Neural Network,2,0,0.9172535211267606,0.937439446366782,0.9272366349510576,7225,0.0,1.9
5,Neural Network,2,1,0.9367124054886586,0.9163128338583756,0.9264003323409263,7301,0.0,1.9
6,Neural Network,3,0,0.9157926891355259,0.9446486713580506,0.9299968979423018,9521,1.0,1.9
7,Neural Network,3,1,0.9453886010362694,0.9168844221105528,0.9309183673469387,9950,1.0,1.9
8,Neural Network,4,0,0.9164462809917355,0.9343613077182339,0.9253170894526035,11868,0.0,1.9
9,Neural Network,4,1,0.9426024167403477,0.9267603593161402,0.934614260666277,13804,0.0,1.9
10,SVM,0,0,0.9110357975005295,0.9545051043053706,0.9322640078031863,4506,0.2328767123287671,1.9
11,SVM,0,1,0.9328309305373526,0.8714416896235078,0.9010919449279949,3267,0.2328767123287671,1.9
12,SVM,1,0,0.9179621651994756,0.9415946205571566,0.9296282245827011,5205,1.0,1.9
13,SVM,1,1,0.9384615384615385,0.9136775719353567,0.9259037347713202,5074,1.0,1.9
14,SVM,2,0,0.898217444550279,0.9526627218934911,0.9246393052248214,6929,0.0,1.9
15,SVM,2,1,0.9546898742920293,0.9023371197284241,0.9277755403409855,7659,0.0,1.9
16,SVM,3,0,0.9190024024711132,0.9279196026337069,0.9234394758018164,8657,1.0,1.9
17,SVM,3,1,0.940847473694189,0.9334148405906141,0.9371164196015485,10633,1.0,1.9
18,SVM,4,0,0.9029823931009702,0.9474974078612499,0.9247044754151142,10609,0.1946771037181996,1.9
19,SVM,4,1,0.9582208220822083,0.9220498015156983,0.939787398388936,13855,0.1946771037181996,1.9
20,Random Forest,0,0,0.9317978533094812,0.9448979591836735,0.9383021841927492,4410,1.0,1.9
21,Random Forest,0,1,0.9187019069923051,0.9000327761389708,0.9092715231788079,3051,1.0,1.9
22,Random Forest,1,0,0.9338650714523098,0.9435862995298858,0.9387005177885418,5956,1.0,1.9
23,Random Forest,1,1,0.9303049159925326,0.9184927298791726,0.9243610882110469,4883,1.0,1.9
24,Random Forest,2,0,0.9380599922088041,0.9464168740993056,0.9422199034824573,7633,0.0,1.9
25,Random Forest,2,1,0.940776136692731,0.9316030972182392,0.9361671469740634,6974,0.0,1.9
26,Random Forest,3,0,0.9335978283566506,0.9549337889790688,0.9441452856087003,9364,1.0,1.9
27,Random Forest,3,1,0.9548276600299722,0.9334449560485559,0.9440152397079056,9556,1.0,1.9
28,Random Forest,4,0,0.9137366786943023,0.9556784272424083,0.9342370554673759,11394,0.0,1.9
29,Random Forest,4,1,0.9605745959871965,0.9228922892289229,0.9413564898052866,13332,0.0,1.9
