,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9323192239858906,0.950550685547314,0.9413466889259877,4449,0.499809958190802,3.8
1,Neural Network,0,1,0.9228340933005963,0.8955071477195371,0.9089652789773708,2938,0.499809958190802,3.8
2,Neural Network,1,0,0.9188516428808496,0.9599514563106796,0.938952009496354,5768,1.0,3.8
3,Neural Network,1,1,0.9460280373831775,0.8922432789775231,0.9183488319346791,4538,1.0,3.8
4,Neural Network,2,0,0.93804362371203,0.9418245331183662,0.9399302762134619,7443,1.0,3.8
5,Neural Network,2,1,0.935237810349985,0.9310601548540798,0.9331443068198776,6716,1.0,3.8
6,Neural Network,3,0,0.9289965986394558,0.9438444924406048,0.936361688450825,9260,0.0,3.8
7,Neural Network,3,1,0.9390529770276606,0.9230414746543779,0.9309783871717408,8680,0.0,3.8
8,Neural Network,4,0,0.9246108540176693,0.9542375824939215,0.9391906328789368,11516,1.0,3.8
9,Neural Network,4,1,0.9540540540540541,0.924317932257792,0.9389506199322151,11839,1.0,3.8
10,SVM,0,0,0.9395413481584434,0.9378034682080925,0.9386716037954177,4325,1.0,3.8
11,SVM,0,1,0.9075918928203367,0.910093007233896,0.9088407292741658,2903,1.0,3.8
12,SVM,1,0,0.9299872704128024,0.9281306715063521,0.9290580434190208,5510,1.0,3.8
13,SVM,1,1,0.9185687847008019,0.9206512778235779,0.9196088522902728,4852,1.0,3.8
14,SVM,2,0,0.9313044762889644,0.9132261335651166,0.9221767115272089,6903,1.0,3.8
15,SVM,2,1,0.9203033528472592,0.9370089406664861,0.9285810175862532,7382,1.0,3.8
16,SVM,3,0,0.9160122908842608,0.9225214899713468,0.91925536774783,8725,0.0,3.8
17,SVM,3,1,0.9337774294670846,0.9281402142161636,0.9309502881140737,10270,0.0,3.8
18,SVM,4,0,0.9126312854354494,0.9197264893218434,0.9161651504548636,10676,1.0,3.8
19,SVM,4,1,0.9379165459287163,0.9323107942680204,0.9351052688599183,13887,1.0,3.8
20,Random Forest,0,0,0.9310863031343924,0.9440574662603396,0.9375270211846088,4594,1.0,3.8
21,Random Forest,0,1,0.9133513149022252,0.8940594059405941,0.9036024016010674,3030,1.0,3.8
22,Random Forest,1,0,0.9238095238095239,0.9484587338415644,0.9359718701447379,6034,1.0,3.8
23,Random Forest,1,1,0.9283079760258184,0.8950877972882862,0.9113952698879709,4499,1.0,3.8
24,Random Forest,2,0,0.9316031705446177,0.9493225638353309,0.940379403794038,7676,1.0,3.8
25,Random Forest,2,1,0.9434017168630875,0.9237783159994302,0.9334868989346387,7019,1.0,3.8
26,Random Forest,3,0,0.9414071252520726,0.9323199822478642,0.9368415184792909,9013,0.0,3.8
27,Random Forest,3,1,0.9343874368075723,0.9432138979370249,0.938779921110931,9210,0.0,3.8
28,Random Forest,4,0,0.925397230011046,0.9514283218310474,0.9382322536181944,11447,1.0,3.8
29,Random Forest,4,1,0.9534572241754562,0.9284316922073688,0.940778062278021,12268,1.0,3.8
