,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9310058187863675,0.9572649572649573,0.9439528023598819,4680,1.0,11.5
1,Neural Network,0,1,0.9308197855413352,0.8901753225272908,0.9100439634764964,3023,1.0,11.5
2,Neural Network,1,0,0.937169078715143,0.9346945960218271,0.9359302018154578,5681,1.0,11.5
3,Neural Network,1,1,0.9198531000216029,0.9228435197225835,0.9213458833711998,4614,1.0,11.5
4,Neural Network,2,0,0.9247644494445225,0.9382222856327579,0.9314447592067989,7009,1.0,11.5
5,Neural Network,2,1,0.9354502087060227,0.92143906020558,0.9283917739310549,6810,1.0,11.5
6,Neural Network,3,0,0.9358035814844013,0.9047256097560976,0.9200022144715717,9184,1.0,11.5
7,Neural Network,3,1,0.9142493139945119,0.9424184261036468,0.9281201810675025,9899,1.0,11.5
8,Neural Network,4,0,0.9274687365243639,0.9360257637740448,0.931727603534916,11489,1.0,11.5
9,Neural Network,4,1,0.943725595283669,0.936128199286094,0.9399115449138326,13167,1.0,11.5
10,SVM,0,0,0.9343770105082565,0.941036717062635,0.937695039276875,4630,1.0,11.5
11,SVM,0,1,0.9122750642673522,0.9027027027027027,0.9074636407223909,3145,1.0,11.5
12,SVM,1,0,0.939898624185373,0.9225302061122956,0.9311334289813487,5628,1.0,11.5
13,SVM,1,1,0.9084418311633767,0.9287247745813654,0.9184713375796177,4658,1.0,11.5
14,SVM,2,0,0.9244570349386213,0.9257057949479941,0.9250809935205183,7403,1.0,11.5
15,SVM,2,1,0.9226441631504922,0.9213483146067416,0.9219957835558679,7120,1.0,11.5
16,SVM,3,0,0.9303641995087045,0.917623512061519,0.9239499363597795,9493,1.0,11.5
17,SVM,3,1,0.9226355362089435,0.9346562437362197,0.928606989943244,9978,1.0,11.5
18,SVM,4,0,0.9301404083039021,0.9209381663113007,0.9255164138167481,11725,1.0,11.5
19,SVM,4,1,0.9267714669405166,0.9353424220680858,0.9310372192683121,12543,1.0,11.5
20,Random Forest,0,0,0.9407390192888683,0.9420525948336048,0.9413953488372093,4297,1.0,11.5
21,Random Forest,0,1,0.9147552208147894,0.912880081995217,0.9138166894664843,2927,1.0,11.5
22,Random Forest,1,0,0.938034561005411,0.9414856341976173,0.9397569292646673,5708,1.0,11.5
23,Random Forest,1,1,0.9225776541492814,0.9181084198385236,0.9203376112845415,4335,1.0,11.5
24,Random Forest,2,0,0.9379552198543296,0.9304254749799304,0.9341751746372917,7474,1.0,11.5
25,Random Forest,2,1,0.9282461708293087,0.935995547516349,0.9321047526673133,7187,1.0,11.5
26,Random Forest,3,0,0.9391962970755312,0.9234588332643773,0.9312610827161782,9668,1.0,11.5
27,Random Forest,3,1,0.9294700724361418,0.9440464666021298,0.9367015656517145,10330,1.0,11.5
28,Random Forest,4,0,0.9309721423288685,0.9601661157725231,0.9453437917222964,11799,1.0,11.5
29,Random Forest,4,1,0.9636532364086304,0.9368468536200286,0.9500609942055505,13301,1.0,11.5
