,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9281615790681662,0.9553508150248051,0.9415599534342259,4233,1.0,13.5
1,Neural Network,0,1,0.9374793251736685,0.9005401970130282,0.9186385737439222,3147,1.0,13.5
2,Neural Network,1,0,0.9305555555555556,0.9314539486387333,0.9310045353662066,5179,1.0,13.5
3,Neural Network,1,1,0.9293532338308458,0.9284294234592445,0.9288910989557434,5030,1.0,13.5
4,Neural Network,2,0,0.9170695970695971,0.9280842230130486,0.9225440341955929,6744,1.0,13.5
5,Neural Network,2,1,0.936418458311484,0.9265793228693735,0.9314729086522788,7709,1.0,13.5
6,Neural Network,3,0,0.8788346943279629,0.9732371990712453,0.9236300376920847,8183,1.0,13.5
7,Neural Network,3,1,0.9745733194009056,0.8843236409608091,0.9272576636288318,9492,1.0,13.5
8,Neural Network,4,0,0.9033506370929684,0.9564304986509443,0.9291330938743811,10007,1.0,13.5
9,Neural Network,4,1,0.965366589880054,0.9222888366092433,0.9433361794613055,13177,1.0,13.5
10,SVM,0,0,0.9384581690757775,0.9368167905553126,0.9376367614879649,4574,1.0,13.5
11,SVM,0,1,0.9078737647433854,0.9101949504634068,0.9090328758378551,3129,1.0,13.5
12,SVM,1,0,0.9353299325324996,0.9452852153667055,0.9402812241521921,6013,1.0,13.5
13,SVM,1,1,0.9287724615717687,0.9160794362588085,0.9223822833799183,4683,1.0,13.5
14,SVM,2,0,0.9333863064494768,0.9379824327921213,0.9356787255227349,7514,1.0,13.5
15,SVM,2,1,0.9260082565893935,0.9205998421468035,0.9232961291854667,6335,1.0,13.5
16,SVM,3,0,0.9311514667730992,0.9309656823623305,0.9310585652998105,10024,1.0,13.5
17,SVM,3,1,0.9264377591155523,0.9266347687400319,0.9265362534552414,9405,1.0,13.5
18,SVM,4,0,0.9353523587652883,0.9249629751522133,0.9301286559384437,12154,1.0,13.5
19,SVM,4,1,0.9257389463398746,0.9360283220813437,0.9308552012117739,12146,1.0,13.5
20,Random Forest,0,0,0.9305767138193689,0.9383366249725696,0.9344405594405595,4557,1.0,13.5
21,Random Forest,0,1,0.9044867437117607,0.8929530201342282,0.8986828774062817,2980,1.0,13.5
22,Random Forest,1,0,0.9300738007380074,0.9229220065909923,0.926484102187098,5462,1.0,13.5
23,Random Forest,1,1,0.9090909090909091,0.9174112006973196,0.9132321041214749,4589,1.0,13.5
24,Random Forest,2,0,0.9241341396371633,0.9431897881890868,0.9335647344671989,7129,1.0,13.5
25,Random Forest,2,1,0.9387477313974592,0.9183311140701287,0.9284271931792685,6759,1.0,13.5
26,Random Forest,3,0,0.9327948303715671,0.9252216643520992,0.9289928134720584,9361,1.0,13.5
27,Random Forest,3,1,0.9284765505262083,0.9357429718875502,0.9320955995486717,9711,1.0,13.5
28,Random Forest,4,0,0.9378352237756089,0.9338119418665732,0.9358192586093442,11422,1.0,13.5
29,Random Forest,4,1,0.9388002914271837,0.9425390117035111,0.9406659366508496,12304,1.0,13.5
