,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9249037227214377,0.9570511401372592,0.9407028614949408,4517,1.0,1.9
1,Neural Network,0,1,0.9239811912225705,0.8704318936877077,0.8964075270861054,2709,1.0,1.9
2,Neural Network,1,0,0.9331286250426476,0.9360027378507871,0.9345634717239023,5844,1.0,1.9
3,Neural Network,1,1,0.9090466926070039,0.9050847457627119,0.9070613928658093,4130,1.0,1.9
4,Neural Network,2,0,0.939352933940214,0.93212890625,0.9357269775136328,8192,1.0,1.9
5,Neural Network,2,1,0.9121504187075368,0.9213214171720395,0.9167129813418023,6266,1.0,1.9
6,Neural Network,3,0,0.9028613760533383,0.9611593059936908,0.931098696461825,10144,0.09789557805007991,1.9
7,Neural Network,3,1,0.95013920526449,0.877410307350707,0.9123276019199222,8557,0.09789557805007991,1.9
8,Neural Network,4,0,0.9440199040341212,0.9236654494870458,0.933731763051503,11502,1.0,1.9
9,Neural Network,4,1,0.9259509150712659,0.9457317598415023,0.9357368107048495,11609,1.0,1.9
10,SVM,0,0,0.9329464861379755,0.9355603448275862,0.9342515872161842,4640,1.0,1.9
11,SVM,0,1,0.9042280589365791,0.9004784688995215,0.9023493687070481,3135,1.0,1.9
12,SVM,1,0,0.9429028815368197,0.9308165057067603,0.9368207122028807,5695,1.0,1.9
13,SVM,1,1,0.9093419236079153,0.9248771355019892,0.9170437405731524,4273,1.0,1.9
14,SVM,2,0,0.9122100122100122,0.9539070480081716,0.9325926850580452,7832,0.0,1.9
15,SVM,2,1,0.9384589157858848,0.8844794344473008,0.9106699751861043,6224,0.0,1.9
16,SVM,3,0,0.9155677829427948,0.9360814742967992,0.9257109970744808,10310,0.0,1.9
17,SVM,3,1,0.925553547220967,0.9020147528349665,0.9136325620295511,9083,0.0,1.9
18,SVM,4,0,0.9223022697342939,0.9354179761156506,0.928813823770332,12728,1.0,1.9
19,SVM,4,1,0.9304509687790845,0.9164166666666667,0.9233804945631638,12000,1.0,1.9
20,Random Forest,0,0,0.9195142033758749,0.9581724581724582,0.9384453781512605,4662,0.5729402872260015,1.9
21,Random Forest,0,1,0.9313621964097148,0.8712545274942377,0.9003062266076897,3037,0.5729402872260015,1.9
22,Random Forest,1,0,0.9280114041339986,0.9575289575289575,0.9425391367297077,5439,1.0,1.9
23,Random Forest,1,1,0.9480548684506409,0.9125541125541126,0.9299658100805117,4620,1.0,1.9
24,Random Forest,2,0,0.9256630056255023,0.9537675959149876,0.939505165851006,7246,0.0,1.9
25,Random Forest,2,1,0.9510090669786487,0.9213658260130348,0.9359527921704088,7058,0.0,1.9
26,Random Forest,3,0,0.9103497794645604,0.9557398233900496,0.9324927764644078,9286,1.0,1.9
27,Random Forest,3,1,0.9574401988195091,0.9136363636363637,0.9350255347120392,10120,1.0,1.9
28,Random Forest,4,0,0.9230769230769231,0.9511434511434511,0.9369000383975425,11544,0.0,1.9
29,Random Forest,4,1,0.9576957695769577,0.9331286998465249,0.9452526374236535,13683,0.0,1.9
