,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.927765237020316,0.9515891391286045,0.9395261845386533,4751,1.0,3.8
1,Neural Network,0,1,0.9228964130070398,0.886634460547504,0.9044021024967148,3105,1.0,3.8
2,Neural Network,1,0,0.935412406271302,0.9508054737571453,0.9430461300575552,5773,1.0,3.8
3,Neural Network,1,1,0.938004802444881,0.9189478186484175,0.9283785243599438,4676,1.0,3.8
4,Neural Network,2,0,0.9096708343965297,0.962862930452397,0.9355113822738307,7405,1.0,3.8
5,Neural Network,2,1,0.9598891481913653,0.9028673343394156,0.9305054789678332,7289,1.0,3.8
6,Neural Network,3,0,0.9177060014923782,0.9305015131863381,0.924059464391134,9252,0.6588668616617918,3.8
7,Neural Network,3,1,0.9348794814664776,0.9228231530540838,0.9288121949992454,10003,0.6588668616617918,3.8
8,Neural Network,4,0,0.9344601276634001,0.9280357142857143,0.9312368409263988,11200,1.0,3.8
9,Neural Network,4,1,0.9352714423385802,0.9410909090909091,0.9381721512869053,12375,1.0,3.8
10,Random Forest,0,0,0.939607670266696,0.9462819089900111,0.9429329794293296,4505,1.0,3.8
11,Random Forest,0,1,0.9174061433447099,0.9074949358541526,0.9124236252545824,2962,1.0,3.8
12,Random Forest,1,0,0.9398106804786569,0.9411554283670184,0.9404825737265415,5591,1.0,3.8
13,Random Forest,1,1,0.9275011018069634,0.9258688957325121,0.9266842800528401,4546,1.0,3.8
14,Random Forest,2,0,0.9235248447204969,0.9600484261501211,0.9414325286901464,7434,1.0,3.8
15,Random Forest,2,1,0.9553181886565368,0.9148537674686644,0.9346482190167795,6941,1.0,3.8
16,Random Forest,3,0,0.9224419078679168,0.9526365645721503,0.9372961217832548,9501,1.0,3.8
17,Random Forest,3,1,0.9534498810385849,0.9237322108639006,0.9383558157291931,9978,1.0,3.8
18,Random Forest,4,0,0.9368200836820084,0.9505816421839178,0.9436506933029883,11777,1.0,3.8
19,Random Forest,4,1,0.9536328871892925,0.9406679764243615,0.9471060648019939,12725,1.0,3.8
