,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9423958106044076,0.9544751381215469,0.9483970136144049,4525,1.0,15.4
1,Neural Network,0,1,0.9285466527922304,0.9102346140768446,0.9192994505494506,2941,1.0,15.4
2,Neural Network,1,0,0.9113737075332349,0.9657391304347827,0.9377691463311661,5750,1.0,15.4
3,Neural Network,1,1,0.9548268745700528,0.8852040816326531,0.9186982901268614,4704,1.0,15.4
4,Neural Network,2,0,0.9297372060857538,0.9472942502818489,0.9384336171994975,7096,1.0,15.4
5,Neural Network,2,1,0.9471676790507134,0.9295716068210176,0.938287153652393,7213,1.0,15.4
6,Neural Network,3,0,0.9228574563809941,0.9313399778516057,0.9270793143361076,9030,1.0,15.4
7,Neural Network,3,1,0.9441240086517664,0.937114232042222,0.9406060606060606,11179,1.0,15.4
8,Neural Network,4,0,0.9030626580500141,0.9462217860647694,0.9241385920352709,10190,1.0,15.4
9,Neural Network,4,1,0.9593170007423905,0.9258436626782259,0.9422831516388959,13957,1.0,15.4
10,SVM,0,0,0.9329702555509007,0.9386722866174921,0.9358125853556046,4745,1.0,15.4
11,SVM,0,1,0.9055807916937054,0.8971391835422694,0.90134022283223,3111,1.0,15.4
12,SVM,1,0,0.9287734181689643,0.9402397566648775,0.9344714145994487,5589,1.0,15.4
13,SVM,1,1,0.9254464285714286,0.911409100901297,0.9183741278103887,4549,1.0,15.4
14,SVM,2,0,0.9268097586988402,0.9217714134181915,0.9242837200026591,7542,1.0,15.4
15,SVM,2,1,0.9189114898295767,0.9241188666205943,0.9215078216525395,7235,1.0,15.4
16,SVM,3,0,0.9135434412265758,0.9550311665182547,0.933826730518067,8984,1.0,15.4
17,SVM,3,1,0.9583848372476308,0.9197311190193752,0.9386602098466504,10116,1.0,15.4
18,SVM,4,0,0.9260058711794164,0.9078980783882163,0.916862577473819,11813,1.0,15.4
19,SVM,4,1,0.9221132507695612,0.9376182850487699,0.9298011332876169,13738,1.0,15.4
20,Random Forest,0,0,0.9364397680910458,0.9316385387737662,0.9340329835082459,4681,1.0,15.4
21,Random Forest,0,1,0.8973371831889637,0.9043000323310701,0.900805152979066,3093,1.0,15.4
22,Random Forest,1,0,0.9399582318134354,0.9190062957291135,0.9293641916888926,5877,1.0,15.4
23,Random Forest,1,1,0.8970365563486913,0.9231967943009796,0.9099286889742183,4492,1.0,15.4
24,Random Forest,2,0,0.9306436378356497,0.9370923913043478,0.9338568817277096,7360,1.0,15.4
25,Random Forest,2,1,0.9259436980166347,0.9184515310169761,0.9221823974512148,6303,1.0,15.4
26,Random Forest,3,0,0.925579744439186,0.9537917581077786,0.9394740002401825,8202,1.0,15.4
27,Random Forest,3,1,0.9537070966165873,0.9254474339220102,0.9393647738209817,8437,1.0,15.4
28,Random Forest,4,0,0.927383401920439,0.9487764231207789,0.9379579449382182,11401,1.0,15.4
29,Random Forest,4,1,0.9495246326707001,0.928420518887856,0.9388539930778105,11833,1.0,15.4
