,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9359838274932615,0.9524571428571429,0.9441486348702844,4375,1.0,3.8
1,Neural Network,0,1,0.929107021131561,0.9053470607771504,0.9170731707317074,3011,1.0,3.8
2,Neural Network,1,0,0.9361344537815126,0.940084388185654,0.9381052631578948,5925,1.0,3.8
3,Neural Network,1,1,0.9274177059905949,0.9227013832384052,0.9250535331905783,4916,1.0,3.8
4,Neural Network,2,0,0.9352016404647984,0.946065551099433,0.9406022274164719,7231,1.0,3.8
5,Neural Network,2,1,0.9401013669175242,0.9281273692191054,0.9340759957271478,6595,1.0,3.8
6,Neural Network,3,0,0.9350605652759085,0.9255106571936057,0.9302611024324928,9008,1.0,3.8
7,Neural Network,3,1,0.9334985133795838,0.9420884176835367,0.937773795300677,9998,1.0,3.8
8,Neural Network,4,0,0.9293603904443873,0.9489421227487322,0.9390491845827745,11438,1.0,3.8
9,Neural Network,4,1,0.9558111380145279,0.9386936167050606,0.9471750459265924,13457,1.0,3.8
10,Random Forest,0,0,0.9254727474972191,0.9443813847900113,0.9348314606741573,4405,1.0,3.8
11,Random Forest,0,1,0.9196457855034438,0.8932781140490602,0.9062702003878473,3139,1.0,3.8
12,Random Forest,1,0,0.9192100538599641,0.9472710453283997,0.9330296127562642,5405,0.7682274962582852,3.8
13,Random Forest,1,1,0.9425634824667473,0.9122293739028672,0.927148379423134,5127,0.7682274962582852,3.8
14,Random Forest,2,0,0.9139244144273603,0.9552418143586663,0.9341264595725932,6658,1.0,3.8
15,Random Forest,2,1,0.9576222980659841,0.9183144688394927,0.937556561085973,7333,1.0,3.8
16,Random Forest,3,0,0.9315209910529938,0.9247324071965384,0.9281142857142858,8782,1.0,3.8
17,Random Forest,3,1,0.9363688871775125,0.9421735761332817,0.9392622634221708,10324,1.0,3.8
18,Random Forest,4,0,0.9178070097995938,0.9490597042176374,0.933171760692967,10954,1.0,3.8
19,Random Forest,4,1,0.9587247577483542,0.9329830118053556,0.9456787421108314,13892,1.0,3.8
