,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9207531553900269,0.9460034013605442,0.9332075076019712,4704,1.0,1.9
1,Neural Network,0,1,0.9138691081722617,0.8755685510071475,0.8943089430894309,3078,1.0,1.9
2,Neural Network,1,0,0.9159052453468697,0.9672980700500358,0.9409003997914132,5596,0.0,1.9
3,Neural Network,1,1,0.9568294409058741,0.8908412036020207,0.9226569608735214,4553,0.0,1.9
4,Neural Network,2,0,0.9040020589370737,0.9666987752855374,0.9342997739061044,7267,0.0,1.9
5,Neural Network,2,1,0.9616542544763113,0.8905355832721937,0.9247295444156637,6815,0.0,1.9
6,Neural Network,3,0,0.9010934883262732,0.956299006795609,0.9278758368837493,9565,1.0,1.9
7,Neural Network,3,1,0.9553514206366162,0.8990751909931645,0.926359399274987,9948,1.0,1.9
8,Neural Network,4,0,0.9145129224652088,0.9536973047684866,0.9336941813261164,11576,1.0,1.9
9,Neural Network,4,1,0.9578185252223184,0.9218359463758237,0.9394828251640294,13203,1.0,1.9
10,SVM,0,0,0.9344842850818946,0.9336576735957541,0.934070796460177,4522,1.0,1.9
11,SVM,0,1,0.900695134061569,0.9018892940006629,0.9012918184829414,3017,1.0,1.9
12,SVM,1,0,0.9192239858906526,0.9505745030093015,0.9346364206939837,5483,0.0,1.9
13,SVM,1,1,0.9370060437006044,0.8979728224548897,0.9170742805141622,4489,0.0,1.9
14,SVM,2,0,0.9214510139960012,0.931024531024531,0.9262130347401666,6930,1.0,1.9
15,SVM,2,1,0.9290485379248924,0.9192245557350566,0.924110438505832,6809,1.0,1.9
16,SVM,3,0,0.9312220089571337,0.9328135013885922,0.9320170757737459,9362,0.0,1.9
17,SVM,3,1,0.9361745306950786,0.9346570762840645,0.9354151880766501,9871,0.0,1.9
18,SVM,4,0,0.9153102746693794,0.9119858096122984,0.9136450179818068,11839,0.0,1.9
19,SVM,4,1,0.9235565989289121,0.9264792463938769,0.9250156140930967,13588,0.0,1.9
20,Random Forest,0,0,0.9349556515806231,0.9332576617480136,0.9341058850261305,4405,0.0,1.9
21,Random Forest,0,1,0.9017707985299032,0.9041876046901173,0.9029775844764135,2985,0.0,1.9
22,Random Forest,1,0,0.9204903677758318,0.9415979935506986,0.9309245483528161,5582,1.0,1.9
23,Random Forest,1,1,0.9335642959038108,0.9098311817279047,0.9215449607724804,5035,1.0,1.9
24,Random Forest,2,0,0.9183308494783905,0.9450920245398773,0.9315192743764172,6520,1.0,1.9
25,Random Forest,2,1,0.9514510442093843,0.9275515600211528,0.9393493104833311,7564,1.0,1.9
26,Random Forest,3,0,0.9129097148266477,0.9174693780473302,0.9151838671411624,8409,1.0,1.9
27,Random Forest,3,1,0.9334675486530534,0.9297240523250263,0.9315920398009949,10473,1.0,1.9
28,Random Forest,4,0,0.9287290167865707,0.9361825565654612,0.9324408917994896,10342,0.398423147581139,1.9
29,Random Forest,4,1,0.9519090644127076,0.9461867168827406,0.9490392648287385,13807,0.398423147581139,1.9
