,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9388828039430449,0.9390885188431201,0.9389856501259721,4564,1.0,5.800000000000001
1,Neural Network,0,1,0.9088524590163934,0.9085545722713865,0.9087034912309457,3051,1.0,5.800000000000001
2,Neural Network,1,0,0.9166240409207161,0.9618894256575417,0.9387113672079623,5589,1.0,5.800000000000001
3,Neural Network,1,1,0.9500351864883885,0.8922670191672174,0.920245398773006,4539,1.0,5.800000000000001
4,Neural Network,2,0,0.9151019313304721,0.9411034482758621,0.927920576635387,7250,1.0,5.800000000000001
5,Neural Network,2,1,0.9402713666247028,0.9139360978925901,0.9269167126309984,7355,1.0,5.800000000000001
6,Neural Network,3,0,0.9272392355514621,0.931529030765672,0.9293791830140781,8646,1.0,5.800000000000001
7,Neural Network,3,1,0.9374141029707157,0.9334666807032319,0.935436227450153,9499,1.0,5.800000000000001
8,Neural Network,4,0,0.9064785339413233,0.9389537474378398,0.9224303974785502,11221,1.0,5.800000000000001
9,Neural Network,4,1,0.9486891385767791,0.920956951716114,0.9346173714117039,13752,1.0,5.800000000000001
10,SVM,0,0,0.9341932662877132,0.9436837455830389,0.9389145242803779,4528,1.0,5.800000000000001
11,SVM,0,1,0.9141124957898282,0.9001658374792704,0.9070855614973262,3015,1.0,5.800000000000001
12,SVM,1,0,0.9282938890851289,0.9287860045944513,0.9285398816358978,5659,1.0,5.800000000000001
13,SVM,1,1,0.9157608695652174,0.9151869646960518,0.915473827186292,4787,1.0,5.800000000000001
14,SVM,2,0,0.9247563352826511,0.9295885042455911,0.9271661237785017,7655,1.0,5.800000000000001
15,SVM,2,1,0.9262855579868708,0.9212459194776932,0.9237588652482269,7352,1.0,5.800000000000001
16,SVM,3,0,0.9371939535873962,0.9093162569717,0.9230446634514573,9682,1.0,5.800000000000001
17,SVM,3,1,0.9143915756630265,0.9408105939004815,0.9274129746835444,9968,1.0,5.800000000000001
18,SVM,4,0,0.9183139272497518,0.9212241941325606,0.9197667585770466,11044,1.0,5.800000000000001
19,SVM,4,1,0.9320577899258102,0.9295171339563862,0.9307857282121271,12840,1.0,5.800000000000001
20,Random Forest,0,0,0.9248870929403376,0.9412191582002902,0.9329816568756745,4134,1.0,5.800000000000001
21,Random Forest,0,1,0.9152424136728288,0.8925170068027211,0.9037368692956776,2940,1.0,5.800000000000001
22,Random Forest,1,0,0.9252863115797128,0.9489187173750933,0.936953520478601,5364,0.0,5.800000000000001
23,Random Forest,1,1,0.9436793422404933,0.9178328668532587,0.9305766697071046,5002,0.0,5.800000000000001
24,Random Forest,2,0,0.9212699316628702,0.9430195278344506,0.9320178597148208,6862,1.0,5.800000000000001
25,Random Forest,2,1,0.9462025316455697,0.9255720053835801,0.9357735746360049,7430,1.0,5.800000000000001
26,Random Forest,3,0,0.9214813078635884,0.9481490413601833,0.9346249851420422,8293,1.0,5.800000000000001
27,Random Forest,3,1,0.9556014455343315,0.9324937027707808,0.9439061703212647,9925,1.0,5.800000000000001
28,Random Forest,4,0,0.9310996221912905,0.911968059207323,0.9214345451862055,10269,1.0,5.800000000000001
29,Random Forest,4,1,0.9334315169366716,0.9481636622036054,0.9407399161378901,13369,1.0,5.800000000000001
