,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9359895493141738,0.9513166629785351,0.9435908691834943,4519,1.0,9.6
1,Neural Network,0,1,0.9189985272459499,0.8946236559139785,0.9066472938612422,2790,1.0,9.6
2,Neural Network,1,0,0.926914355485784,0.9574774774774775,0.9419480634583001,5550,1.0,9.6
3,Neural Network,1,1,0.9434459621375509,0.9038108356290174,0.9232031891194746,4356,1.0,9.6
4,Neural Network,2,0,0.9265359477124183,0.9352157276685579,0.9308556044388995,7579,0.525974025974026,9.6
5,Neural Network,2,1,0.9278471711976488,0.9182664339732403,0.9230319421094949,6876,0.525974025974026,9.6
6,Neural Network,3,0,0.9403938265034593,0.9158287550533845,0.9279487448797394,9647,1.0,9.6
7,Neural Network,3,1,0.9112180188060355,0.937036204182595,0.9239467849223947,8894,1.0,9.6
8,Neural Network,4,0,0.933240039512677,0.935164563226924,0.9342013102055952,12123,1.0,9.6
9,Neural Network,4,1,0.9395198522622346,0.9377159972352354,0.9386170580774109,13021,1.0,9.6
10,SVM,0,0,0.9208352455254704,0.9561591613056946,0.9381648158971361,4197,1.0,9.6
11,SVM,0,1,0.9340501792114695,0.8830904778041342,0.9078557742553561,2951,1.0,9.6
12,SVM,1,0,0.9133604611732791,0.9537889518413598,0.9331370171487962,5648,1.0,9.6
13,SVM,1,1,0.9463514902363823,0.900097751710655,0.9226452905811623,5115,1.0,9.6
14,SVM,2,0,0.9265655714686886,0.9242296918767507,0.9253961576216518,7140,1.0,9.6
15,SVM,2,1,0.9285336856010568,0.9307468220338984,0.9296389366485914,7552,1.0,9.6
16,SVM,3,0,0.9198594796355253,0.9270856384155787,0.9234584228798148,9038,1.0,9.6
17,SVM,3,1,0.9374466065495966,0.9311710352630587,0.9342982829572868,10606,1.0,9.6
18,SVM,4,0,0.9058053251855085,0.9594082293111419,0.9318365514144589,10815,1.0,9.6
19,SVM,4,1,0.9663936308658042,0.9212581186601474,0.9432862586863933,13703,1.0,9.6
20,Random Forest,0,0,0.9255856683509417,0.9515938606847698,0.9384095936663174,4235,1.0,9.6
21,Random Forest,0,1,0.9306025727826676,0.8945655711031565,0.9122283059565289,3073,1.0,9.6
22,Random Forest,1,0,0.9307051059395623,0.9328111401218451,0.9317569329740067,5745,1.0,9.6
23,Random Forest,1,1,0.9217038539553752,0.9192797896014566,0.9204902258685302,4943,1.0,9.6
24,Random Forest,2,0,0.929731925264013,0.9221162884382973,0.9259084473808399,7447,1.0,9.6
25,Random Forest,2,1,0.922335297268345,0.9299311462130417,0.9261176470588235,7407,1.0,9.6
26,Random Forest,3,0,0.9225283630470016,0.9512032085561497,0.9366463715649168,8976,1.0,9.6
27,Random Forest,3,1,0.9536655030149159,0.9263255240443896,0.9397967161845192,9732,1.0,9.6
28,Random Forest,4,0,0.9252767527675276,0.9354756655926743,0.9303482587064676,11794,1.0,9.6
29,Random Forest,4,1,0.9428206476820197,0.9337004241387008,0.9382383729624645,13439,1.0,9.6
