,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9353535353535354,0.9492027334851936,0.9422272470322216,4390,1.0,13.5
1,Neural Network,0,1,0.9171619613670133,0.8955386289445049,0.9062213250137638,2757,1.0,13.5
2,Neural Network,1,0,0.9291600911800807,0.9506637961966272,0.9397889509621353,5574,1.0,13.5
3,Neural Network,1,1,0.9367961388186624,0.9098214285714286,0.923111765371985,4480,1.0,13.5
4,Neural Network,2,0,0.9308184484137564,0.9483906016569333,0.939522367978473,7363,1.0,13.5
5,Neural Network,2,1,0.9427106889793457,0.9233608978145305,0.9329354718388662,6772,1.0,13.5
6,Neural Network,3,0,0.9236103814227172,0.9602359624207997,0.9415671362005249,9154,1.0,13.5
7,Neural Network,3,1,0.9606614071112072,0.9243968386023295,0.9421802957231438,9616,1.0,13.5
8,Neural Network,4,0,0.9295798750748695,0.9485724264384877,0.9389801210025929,11453,1.0,13.5
9,Neural Network,4,1,0.9534681624269237,0.9361619609059882,0.9447358121330725,12892,1.0,13.5
10,SVM,0,0,0.9343927355278093,0.9438202247191011,0.9390828199863108,4361,1.0,13.5
11,SVM,0,1,0.9155172413793103,0.9018342391304348,0.9086242299794661,2944,1.0,13.5
12,SVM,1,0,0.9324792243767313,0.9398010818356308,0.9361258364473799,5731,1.0,13.5
13,SVM,1,1,0.9248856956237753,0.9159120310478654,0.9203769905752356,4638,1.0,13.5
14,SVM,2,0,0.9256011315417256,0.9328581610833927,0.929215477458289,7015,1.0,13.5
15,SVM,2,1,0.9285389167045972,0.9208546494131808,0.924680818916673,6646,1.0,13.5
16,SVM,3,0,0.9304979253112033,0.9267486310569274,0.9286194937626172,9679,1.0,13.5
17,SVM,3,1,0.9272969647251845,0.9310202820961598,0.9291548933984074,9713,1.0,13.5
18,SVM,4,0,0.9273589615576635,0.9262029419097482,0.9267805912436073,12033,1.0,13.5
19,SVM,4,1,0.9301722104269875,0.9312706660368446,0.9307211141272278,12702,1.0,13.5
20,Random Forest,0,0,0.93307757885763,0.9402920962199313,0.936670945656825,4656,1.0,13.5
21,Random Forest,0,1,0.9051841746248295,0.8942048517520216,0.8996610169491526,2968,1.0,13.5
22,Random Forest,1,0,0.9308500829799005,0.9362017804154302,0.9335182616736014,5392,1.0,13.5
23,Random Forest,1,1,0.9231971422192453,0.9168514412416852,0.9200133496495717,4510,1.0,13.5
24,Random Forest,2,0,0.9379719525350594,0.937845490090333,0.9379087170498214,7417,1.0,13.5
25,Random Forest,2,1,0.9359277275886032,0.9360578259660829,0.9359927722565848,7194,1.0,13.5
26,Random Forest,3,0,0.9399072176070774,0.9242520687460216,0.9320139074618883,9426,1.0,13.5
27,Random Forest,3,1,0.9305852615205134,0.9450093790107612,0.9377418564780798,10129,1.0,13.5
28,Random Forest,4,0,0.9238249594813615,0.9212317114664852,0.9225265130542187,11756,1.0,13.5
29,Random Forest,4,1,0.931736085514191,0.9340082766775052,0.9328707975052589,13532,1.0,13.5
