,Method,Fold,Class,Precision,Recall,F1-score,Support,ASR,TAP
0,Neural Network,0,0,0.9477140077821011,0.9158636897767333,0.9315166726425241,4255,1.0,11.5
1,Neural Network,0,1,0.8824302134646962,0.9259131633356306,0.9036488986043383,2902,1.0,11.5
2,Neural Network,1,0,0.9404492425561554,0.931367477151233,0.9358863281926877,5799,1.0,11.5
3,Neural Network,1,1,0.9169622365950344,0.9278024065864471,0.9223504721930744,4737,1.0,11.5
4,Neural Network,2,0,0.9404299404299404,0.9383641297325236,0.9393958993596793,7739,1.0,11.5
5,Neural Network,2,1,0.9308996088657105,0.9331977926227127,0.9320472840670099,6886,1.0,11.5
6,Neural Network,3,0,0.9195841290048801,0.9662245011704381,0.9423275534054466,8971,1.0,11.5
7,Neural Network,3,1,0.9640441438234247,0.9146588606169782,0.9387024091513085,8882,1.0,11.5
8,Neural Network,4,0,0.9351827153907709,0.9491923111632524,0.9421354353278396,11081,1.0,11.5
9,Neural Network,4,1,0.9508983080411652,0.937328060522696,0.9440644211620054,11632,1.0,11.5
10,SVM,0,0,0.9254589692545897,0.9489680199591745,0.9370660694288915,4409,1.0,11.5
11,SVM,0,1,0.9168821573697821,0.8804540617240156,0.8982989504162142,2819,1.0,11.5
12,SVM,1,0,0.9300758213984835,0.9473142268748928,0.9386158816527802,5827,1.0,11.5
13,SVM,1,1,0.9307779030439685,0.9086506713625357,0.919581198485186,4543,1.0,11.5
14,SVM,2,0,0.9272678833089116,0.9313620551244314,0.9293104599158934,7474,1.0,11.5
15,SVM,2,1,0.9294166208035223,0.925215723873442,0.9273114146475392,7301,1.0,11.5
16,SVM,3,0,0.907014189393177,0.9614892255173885,0.9334576148309254,9374,1.0,11.5
17,SVM,3,1,0.9628256616208424,0.9100642398286938,0.9357017763322492,10274,1.0,11.5
18,SVM,4,0,0.9138852387209812,0.9243310295941874,0.9190784546936258,11286,1.0,11.5
19,SVM,4,1,0.9363494074681374,0.9274324523844677,0.931869599080221,13546,1.0,11.5
20,Random Forest,0,0,0.9403701165181632,0.9425234714907259,0.9414455626715461,4367,1.0,11.5
21,Random Forest,0,1,0.9118679775280899,0.9086773967809657,0.9102698913424465,2858,1.0,11.5
22,Random Forest,1,0,0.9348016081104702,0.9519401922392311,0.9432930593526765,5618,1.0,11.5
23,Random Forest,1,1,0.9387199273717658,0.9172765579951209,0.9278743690409422,4509,1.0,11.5
24,Random Forest,2,0,0.9361843858246736,0.9559243640321045,0.9459514033788786,7351,1.0,11.5
25,Random Forest,2,1,0.9498374361356247,0.9275778651345631,0.938575690354165,6614,1.0,11.5
26,Random Forest,3,0,0.9384275339437954,0.9405063291139241,0.9394657815710448,9480,1.0,11.5
27,Random Forest,3,1,0.9414998444144799,0.939453529290002,0.9404755737450137,9662,1.0,11.5
28,Random Forest,4,0,0.926722716782064,0.9599556010928961,0.9430464687133032,11712,1.0,11.5
29,Random Forest,4,1,0.96248,0.9311919504643963,0.9465774980330448,12920,1.0,11.5
